codneg,iq,tipo,adm,urendrs,urendpercent,urenddatapag,urenddatabase,rendmed12rs,rendmed12percent,ppc,cvp,nnegmed,ifix,ncotistas,patrimonio
TFOF11,Investidor Qualificado,Papel: Fundo de Fundos,Hedge Investments DTVM LTDA,0.8,0.56,2020-03-13,2020-02-28,1.93,1.36,136.46,1.04,5472,0.16,1905,116065615.08
TGAR11,Geral,Tijolo: Desenvolvimento,Vórtx DTVM LTDA,0.7,0.52,2020-03-09,2020-02-28,0.88,0.6599999999999999,133.20999999999998,1.01,14737,0.52,17519,461674700.97999996
THRA11,Geral,Tijolo: Escritórios,BTG Pactual,0.64,0.41000000000000003,2020-03-13,2020-03-06,0.61,0.4,119.26,1.29,2928,0.31,2731,175636737.67
TORM13,Investidor Qualificado,Tijolo: Desenvolvimento,Vórtx DTVM LTDA,0.45,NA,2020-03-13,2020-02-28,0.36,NA,1407.82,0,0,0,221,14078150.54
TOUR11,Investidor Qualificado,Tijolo: Desenvolvimento,Vórtx DTVM LTDA,1.23,NA,2020-03-13,2020-03-02,0.6699999999999999,NA,281.41999999999996,0,2,0,104,2814213.8899999997
TRNT11,Geral,Tijolo: Escritórios,BTG Pactual,0.74,0.31,2020-02-20,2020-02-13,0.75,0.31,221.68,1.08,106,0,697,872448154.53
TRXF11,Geral,Tijolo: Outros,BRL Trust DTVM,0.5700000000000001,0.49,2020-03-13,2020-02-28,0.17,0.15000000000000002,100.96000000000001,1.1600000000000001,206,0,138,188692517.28
TSNC11,Geral,Tijolo: Outros,Banco Finaxis,33.8,NA,2020-03-20,2020-03-11,42.27,NA,5586.57,0,0,0,66,101189591.94000001
UBSR11,Geral,Papel: CRIs,BRL Trust DTVM,1,0.9500000000000001,2020-03-13,2020-03-06,0.8,0.76,96.97,1.08,21970,1.52,26832,664783049.99
VCJR11,Investidor Qualificado,Papel: CRIs,INTRAG DTVM,0.31,0.29000000000000004,2020-03-12,2020-02-28,0.07,0.07,100.64999999999999,1.07,780,0,2769,584926193.03
VERE11,Geral,Tijolo: Galpões,Votorantim Asset Management,1.7,NA,2020-03-10,2020-02-28,1.62,NA,262.38,0,3,0,54,144332528.63
VGIR11,Geral,Papel: CRIs,BTG Pactual,0.55,0.56,2020-03-18,2020-03-11,0.7,0.7,96.99000000000001,1.02,38177,0.59,27857,437067406.21999997
VILG11,Geral,Tijolo: Galpões,BRL Trust DTVM,0.6599999999999999,0.53,2020-03-13,2020-02-28,0.72,0.58,109.35,1.1300000000000001,73243,1.71,25366,478892554.94
VINO11,Geral,Tijolo: Escritórios,BRL Trust DTVM,0.37,0.55,2020-03-13,2020-02-28,0.09,0.14,61.160000000000004,1.09,39409,0,16206,608105797.41
VISC11,Geral,Tijolo: Shoppings,BRL Trust DTVM,0.63,0.5,2020-03-13,2020-02-28,0.6699999999999999,0.52,121.76,1.04,92171,2.15,144388,1737659655.2
VLJS11,Investidor Qualificado,Tijolo: Escritórios,Planner Corretora de Valores,16.43,NA,2020-01-20,2020-01-02,3.16,NA,984.9599999999999,0,0,0,12,58090267.97
VLOL11,Geral,Tijolo: Escritórios,Oliveira Trust,0.47000000000000003,0.42000000000000004,2020-03-13,2020-02-28,0.45,0.4,90.63,1.24,6877,0.29000000000000004,7038,161756697.29
VOTS11,Geral,Papel: CRIs,Votorantim Asset Management,0.35,0.38,2020-03-13,2020-02-28,0.46,0.5,97.64,0.9400000000000001,279,0,399,80834533.1
VPSI11,Investidor Qualificado,Tijolo: Shoppings,Votorantim Asset Management,0.09,NA,2020-03-11,2020-03-03,0.1,NA,19.58,0,0,0,53,158025836.91
VRTA11,Geral,Papel: CRIs,Banco Fator,0.81,0.64,2020-03-13,2020-02-28,0.8600000000000001,0.6799999999999999,106.31,1.1900000000000002,21917,0.7799999999999999,44651,515677694.76
VSHO11,Investidor Qualificado,Tijolo: Shoppings,Votorantim Asset Management,0.7,0.62,2020-03-09,2020-02-28,0.62,0.55,107.66,1.05,2246,0.32,1452,225966788.20999998
VTLT11,Investidor Qualificado,Tijolo: Galpões,Votorantim Asset Management,0.72,0.62,2020-03-09,2020-02-28,0.75,0.65,100.8,1.1500000000000001,3040,0.32999999999999996,2157,213190076.47
VVPR11,Investidor Qualificado,Tijolo: Escritórios,BTG Pactual,0.7,0.6599999999999999,2020-03-06,2020-02-28,0.09,0.09,99.04,1.07,2644,0,639,135504704.20999998
WPLZ11,Geral,Tijolo: Shoppings,Hedge Investments DTVM LTDA,1.05,1.02,2020-03-13,2020-02-28,0.54,0.53,94.56,1.08,705,0.14,2034,96522859.73
WTSP11B,Investidor Qualificado,Tijolo: Híbrido,Banco Ourinvest S.A.,0.31,0.44,2020-02-21,2020-02-14,0.39,0.55,91.23,0.77,105,0,153,90554690.86999999
XPCI11,Geral,Papel: CRIs,Vórtx DTVM LTDA,0.65,0.65,2020-03-13,2020-02-28,0.19,0.19,97.44000000000001,1.03,14069,0,5144,97440232.39
XPCM11,Geral,Tijolo: Escritórios,Rio Bravo Investimentos,0.8400000000000001,1.4,2020-03-13,2020-02-28,0.8300000000000001,1.3900000000000001,61.78,0.97,13524,0.16,18681,149160413.97
XPHT11,Investidor Qualificado,Tijolo: Hotéis,Genial Investimentos Corretora de Valores Mobiliários S.A.,0.29000000000000004,0.28,2020-03-13,2020-02-28,0.41000000000000003,0.4,109.56,0.9500000000000001,792,0,1604,409485919.05
XPIN11,Geral,Tijolo: Galpões,Vórtx DTVM LTDA,0.71,0.55,2020-02-14,2020-02-07,0.71,0.55,113.7,1.1500000000000001,40652,1.01,22454,247878643.78
XPLG11,Geral,Tijolo: Galpões,Vórtx DTVM LTDA,0.64,0.48000000000000004,2020-03-13,2020-02-28,0.63,0.48000000000000004,109.16,1.21,112869,3.13,127423,1666874761.12
XPML11,Geral,Tijolo: Shoppings,BTG Pactual,0.5,0.36,2020-02-21,2020-02-14,0.56,0.4,108.26,1.29,119366,2.56,181946,1971202598.44
XPPR11,Geral,Tijolo: Escritórios,Vórtx DTVM LTDA,0.52,0.51,2020-03-13,2020-02-28,0.13,0.13,95.99000000000001,1.06,35960,0,19696,414675836.2
XPSF11,Geral,Papel: Fundo de Fundos,Vórtx DTVM LTDA,0.7,0.7,2020-03-13,2020-02-28,0.06,0.06,102.36,0.98,3505,0,1755,342896033.76
XTED11,Geral,Tijolo: Escritórios,BTG Pactual,0.32,NA,2016-07-14,2016-06-30,0,NA,14.88,0,7410,0.02,6091,26669231.58
YCHY11,Investidor Qualificado,Tijolo: Galpões,Fram Capital DTVM SA,11,0.92,2019-12-06,2019-11-29,2,0.17,1013.25,1.1700000000000002,56,0,81,21928788.68
